,코드번호,지역이름,날짜,최저기온,최고기온,평균기온,평균강수량,평균풍향,평균풍속,최대풍속,평균습도
0,1168066000,강남구,2024-07-03,23℃,28℃,25.25,0.42,남서풍,3.0,4,80.62
1,1168066000,강남구,2024-07-04,22℃,29℃,25.17,0.0,남서풍,1.96,3,83.12
2,1168066000,강남구,2024-07-05,23℃,30℃,25.92,0.0,남서풍,1.42,2,85.62
3,1174051500,강동구,2024-07-03,23℃,28℃,24.75,0.62,남서풍,3.04,4,82.92
4,1174051500,강동구,2024-07-04,22℃,29℃,24.54,0.0,남서풍,1.79,3,83.12
5,1174051500,강동구,2024-07-05,22℃,30℃,25.21,0.0,남서풍,1.46,2,84.79
6,1130553500,강북구,2024-07-03,24℃,28℃,25.25,0.58,남서풍,2.88,4,81.88
7,1130553500,강북구,2024-07-04,23℃,28℃,25.12,0.0,남서풍,1.71,3,84.38
8,1130553500,강북구,2024-07-05,23℃,29℃,25.92,0.0,남서풍,1.42,2,84.17
9,1150060300,강서구,2024-07-03,23℃,28℃,24.88,0.42,남서풍,3.58,5,83.96
10,1150060300,강서구,2024-07-04,22℃,28℃,24.75,0.0,남동풍,1.96,3,86.25
11,1150060300,강서구,2024-07-05,22℃,29℃,25.42,0.0,남서풍,1.46,2,88.12
12,1162058500,관악구,2024-07-03,23℃,28℃,24.79,0.5,남서풍,3.17,5,81.88
13,1162058500,관악구,2024-07-04,22℃,28℃,24.88,0.0,남서풍,1.92,3,84.17
14,1162058500,관악구,2024-07-05,23℃,29℃,25.29,0.0,남서풍,1.42,2,86.25
15,1121581000,광진구,2024-07-03,23℃,28℃,25.17,0.42,남서풍,3.0,4,79.38
16,1121581000,광진구,2024-07-04,23℃,28℃,25.08,0.0,남서풍,1.88,3,80.42
17,1121581000,광진구,2024-07-05,23℃,29℃,25.79,0.0,남서풍,1.42,2,81.46
18,1153059500,구로구,2024-07-03,23℃,27℃,25.21,0.33,남서풍,3.33,5,78.75
19,1153059500,구로구,2024-07-04,23℃,28℃,24.92,0.0,남서풍,1.75,3,81.04
20,1153059500,구로구,2024-07-05,23℃,29℃,25.75,0.0,남서풍,1.46,2,83.33
21,1154551000,금천구,2024-07-03,23℃,27℃,25.21,0.33,남서풍,3.33,5,78.75
22,1154551000,금천구,2024-07-04,23℃,28℃,24.92,0.0,남서풍,1.75,3,81.04
23,1154551000,금천구,2024-07-05,23℃,29℃,25.75,0.0,남서풍,1.46,2,83.33
24,1135059500,노원구,2024-07-03,24℃,28℃,25.25,0.58,남서풍,2.88,4,81.88
25,1135059500,노원구,2024-07-04,23℃,28℃,25.12,0.0,남서풍,1.71,3,84.38
26,1135059500,노원구,2024-07-05,23℃,29℃,25.92,0.0,남서풍,1.42,2,84.17
27,1132052100,도봉구,2024-07-03,23℃,28℃,24.38,0.5,남서풍,2.96,4,84.58
28,1132052100,도봉구,2024-07-04,22℃,28℃,24.12,0.0,남서풍,1.62,3,85.83
29,1132052100,도봉구,2024-07-05,22℃,29℃,25.04,0.0,남서풍,1.5,2,86.04
30,1123060000,동대문구,2024-07-03,23℃,28℃,25.17,0.5,남서풍,2.96,4,81.67
31,1123060000,동대문구,2024-07-04,23℃,28℃,24.96,0.0,남서풍,1.75,3,82.08
32,1123060000,동대문구,2024-07-05,23℃,29℃,25.75,0.0,남서풍,1.46,2,82.92
33,1159051000,동작구,2024-07-03,23℃,27℃,24.88,0.42,남서풍,3.25,5,82.08
