평균기온(℃),최고기온(℃),최저기온(℃),평균습도(%rh),강수량(mm),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),오 존,이산화질소,일산화탄소,아황산가스
31.4,35.8,28.7,55.0,0.0,3.9,6.3,110.0,0.018,0.015,0.2,0.005
26.5,30.5,24.1,87.6,13.0,4.2,7.0,70.0,0.017,0.014,0.2,0.005
26.4,29.6,24.7,93.0,6.5,2.1,4.7,230.0,0.015,0.021,0.3,0.005
26.6,29.2,25.0,87.5,0.0,3.2,4.8,230.0,0.029,0.018,0.4,0.006
24.4,26.2,22.5,92.4,10.5,2.2,4.9,230.0,0.025,0.031,0.4,0.005
24.7,27.1,22.6,91.1,0.2,1.5,3.3,270.0,0.012,0.037,0.5,0.006
26.1,30.6,21.9,62.3,0.0,3.8,6.9,70.0,0.025,0.02,0.3,0.005
26.5,31.6,22.3,48.4,0.0,4.6,7.3,70.0,0.039,0.015,0.3,0.005
23.4,27.7,19.6,79.4,42.5,2.6,9.3,70.0,0.027,0.013,0.3,0.005
23.7,28.6,18.3,78.4,0.0,2.2,5.2,270.0,0.025,0.018,0.3,0.005
25.8,30.4,22.3,77.8,0.0,2.7,4.9,270.0,0.044,0.022,0.4,0.006
24.2,26.7,22.5,75.3,0.0,2.1,4.6,250.0,0.02,0.032,0.6,0.006
22.3,24.2,21.4,78.6,0.5,2.0,3.8,70.0,0.019,0.033,0.4,0.005
24.9,29.6,20.9,72.9,0.0,1.7,4.5,270.0,0.029,0.026,0.4,0.005
26.1,31.8,22.2,73.9,0.0,1.8,5.1,270.0,0.029,0.026,0.4,0.006
24.0,25.0,22.9,81.1,3.0,1.9,4.2,70.0,0.014,0.034,0.5,0.006
22.3,24.4,20.9,90.0,11.5,3.1,5.0,70.0,0.017,0.023,0.3,0.005
22.3,25.3,20.4,96.6,4.5,1.5,3.5,70.0,0.011,0.033,0.4,0.005
24.8,28.0,22.4,86.0,0.5,1.1,2.5,320.0,0.018,0.035,0.4,0.006
23.1,24.6,21.8,96.5,46.5,2.4,5.2,320.0,0.012,0.029,0.4,0.006
24.7,28.2,21.8,83.4,15.0,3.1,5.9,230.0,0.036,0.022,0.6,0.006
25.2,29.7,22.8,79.5,0.5,2.7,4.4,230.0,0.029,0.019,0.5,0.007
25.6,30.7,20.7,75.5,0.1,1.3,4.5,290.0,0.034,0.024,0.5,0.006
25.9,28.6,24.1,71.8,0.0,3.0,4.8,90.0,0.024,0.026,0.5,0.005
25.4,29.6,21.6,71.4,11.5,2.5,4.8,70.0,0.03,0.023,0.3,0.005
24.6,28.6,21.1,66.8,0.0,2.8,4.0,70.0,0.019,0.021,0.3,0.005
25.1,30.7,19.8,65.3,0.0,2.2,4.6,250.0,0.025,0.023,0.3,0.005
25.2,30.1,21.0,71.9,6.5,1.8,5.0,230.0,0.025,0.035,0.4,0.006
24.6,30.7,19.9,71.6,0.0,1.9,4.3,270.0,0.03,0.026,0.4,0.005
24.1,29.0,20.7,68.6,0.0,1.4,3.0,50.0,0.029,0.029,0.4,0.006
24.1,29.7,20.4,72.5,1.5,1.5,5.1,250.0,0.033,0.037,0.5,0.006
23.1,27.7,19.3,73.6,6.0,2.5,5.6,140.0,0.016,0.031,0.3,0.005
19.1,20.6,17.4,99.8,57.5,3.4,7.1,70.0,0.017,0.021,0.3,0.005
22.4,27.6,18.0,79.4,0.0,2.5,5.8,290.0,0.021,0.022,0.3,0.006
23.8,29.0,20.0,76.0,0.0,2.1,5.4,290.0,0.022,0.03,0.3,0.006
25.2,30.8,20.3,66.9,0.0,1.8,4.3,270.0,0.031,0.026,0.4,0.007
25.3,31.3,19.8,72.1,0.0,1.6,4.5,270.0,0.031,0.025,0.5,0.006
24.8,30.2,20.6,75.0,0.0,2.5,5.0,270.0,0.035,0.018,0.5,0.006
23.3,28.2,19.9,66.5,0.0,2.1,4.8,270.0,0.039,0.018,0.5,0.007
22.4,28.9,16.7,60.6,0.0,1.5,4.1,270.0,0.026,0.03,0.4,0.006
23.3,29.2,17.5,61.1,0.0,1.8,3.6,360.0,0.015,0.036,0.4,0.006
21.3,26.6,18.6,74.9,0.1,2.1,4.9,230.0,0.011,0.071,0.7,0.006
23.1,28.3,18.6,60.9,0.0,2.3,4.1,50.0,0.024,0.029,0.3,0.005
23.0,28.4,18.2,60.6,0.0,2.3,4.5,270.0,0.027,0.021,0.3,0.006
23.1,27.5,20.6,64.9,0.0,2.2,4.2,270.0,0.038,0.023,0.4,0.006
21.3,27.0,15.8,43.8,0.0,2.1,4.9,270.0,0.026,0.031,0.3,0.006
20.2,22.6,17.6,52.3,0.0,1.5,3.2,290.0,0.016,0.037,0.4,0.006
20.6,27.0,16.2,56.5,0.0,2.0,4.1,70.0,0.013,0.037,0.4,0.005
21.4,28.4,14.9,55.0,0.0,1.7,4.5,250.0,0.02,0.046,0.5,0.006
21.6,28.1,15.4,52.5,0.0,2.0,3.9,320.0,0.03,0.043,0.4,0.007
20.2,25.6,17.5,61.6,0.0,1.4,3.2,230.0,0.025,0.036,0.4,0.007
21.4,27.9,15.0,57.5,0.0,2.0,3.4,50.0,0.022,0.044,0.4,0.005
23.0,29.0,18.1,52.1,0.0,2.5,3.7,70.0,0.023,0.038,0.4,0.005
20.3,23.8,18.0,77.9,6.5,2.6,6.3,70.0,0.018,0.031,0.3,0.005
22.2,27.7,17.7,66.9,0.0,1.7,3.7,290.0,0.022,0.04,0.4,0.006
21.0,24.2,18.6,78.1,0.0,2.6,4.6,290.0,0.013,0.038,0.4,0.005
21.4,25.1,18.3,79.0,0.0,2.6,5.7,230.0,0.023,0.027,0.4,0.006
21.7,24.7,19.2,85.5,0.5,1.1,3.0,230.0,0.02,0.025,0.4,0.006
19.4,20.7,17.7,99.0,16.0,1.3,2.7,290.0,0.008,0.042,0.5,0.005
18.9,23.7,15.4,72.5,0.0,3.1,5.1,70.0,0.014,0.026,0.4,0.005
19.2,24.4,14.9,68.6,0.0,2.6,4.3,230.0,0.02,0.025,0.3,0.005
