datatime,pm10value,pm25value,pm10grade,pm25grade
2022-01-01 00:00,14,6,1,1
2022-01-01 00:30,14,6,1,1
2022-01-01 01:00,17,9,1,1
2022-01-01 01:30,17,9,1,1
2022-01-01 02:00,14,8,1,1
2022-01-01 02:30,14,8,1,1
2022-01-01 03:00,14,8,1,1
2022-01-01 03:30,14,8,1,1
2022-01-01 04:00,11,5,1,1
2022-01-01 04:30,11,5,1,1
2022-01-01 05:00,11,9,1,1
2022-01-01 05:30,11,9,1,1
2022-01-01 06:00,14,8,1,1
2022-01-01 06:30,14,7,1,1
2022-01-01 07:00,13,9,1,1
2022-01-01 07:30,13,9,1,1
2022-01-01 08:00,17,12,1,1
2022-01-01 08:30,17,11,1,1
2022-01-01 09:00,16,11,1,1
2022-01-01 09:30,16,10,1,1
2022-01-01 10:00,19,17,1,2
2022-01-01 10:30,19,17,1,2
2022-01-01 11:00,19,9,1,1
2022-01-01 11:30,19,10,1,1
2022-01-01 12:00,17,16,1,2
2022-01-01 12:30,17,15,1,1
2022-01-01 13:00,12,10,1,1
2022-01-01 13:30,12,9,1,1
2022-01-01 14:00,9,8,1,1
2022-01-01 14:30,9,8,1,1
2022-01-01 15:00,20,13,1,1
2022-01-01 15:30,20,12,1,1
2022-01-01 16:00,13,15,1,1
2022-01-01 16:30,13,15,1,1
2022-01-01 17:00,19,13,1,1
2022-01-01 17:30,19,14,1,1
2022-01-01 18:00,22,17,1,2
2022-01-01 18:30,22,18,1,2
2022-01-01 19:00,21,21,1,2
2022-01-01 19:30,21,21,1,2
2022-01-01 20:00,27,20,1,2
2022-01-01 20:30,27,20,1,2
2022-01-01 21:00,26,23,1,2
2022-01-01 21:30,26,23,1,2
2022-01-01 22:00,25,23,1,2
2022-01-01 22:30,25,23,1,2
2022-01-01 23:00,24,21,1,2
2022-01-01 23:30,24,20,1,2
2022-01-02 00:00,24,21,1,2
2022-01-02 00:30,24,21,1,2
2022-01-02 01:00,22,19,1,2
2022-01-02 01:30,22,19,1,2
2022-01-02 02:00,23,20,1,2
2022-01-02 02:30,23,19,1,2
2022-01-02 03:00,22,19,1,2
2022-01-02 03:30,22,18,1,2
2022-01-02 04:00,22,18,1,2
2022-01-02 04:30,22,18,1,2
2022-01-02 05:00,21,19,1,2
2022-01-02 05:30,21,19,1,2
2022-01-02 06:00,22,22,1,2
2022-01-02 06:30,22,22,1,2
2022-01-02 07:00,25,20,1,2
2022-01-02 07:30,25,20,1,2
2022-01-02 08:00,29,19,1,2
2022-01-02 08:30,29,19,1,2
2022-01-02 09:00,31,22,2,2
2022-01-02 09:30,31,23,2,2
