지역,리뷰 수,태마파크 이름
서울 서초구 잠원동,999,잠원 한강공원
함안 법수면,999,강주해바라기마을
부산 해운대구 중동,999,해운대블루라인파크
영덕 축산면,13,죽도산
횡성 둔내면,999,웰리힐리파크 워터플래닛
김해 신문동,999,롯데워터파크 김해
여주 산북면,999,루덴시아 테마파크
당진 신평면,7,아마존 아쿠아파크 당진
대구 달성군 가창면,999,스파밸리
경산 점촌동,999,이웃집수달
천안 동남구 성남면,999,소노벨 천안 오션어드벤처
서울 광진구 구의동,5,아차산배수지체육공원
춘천 사북면,17,이상원미술관 뮤지엄스테이
김포 대곶면,999,몬스터리움
거제 일운면,999,소노캄 거제 오션어드벤처
양평 옥천면,47,사나사계곡
전북 완주군 구이면,999,아마존 아쿠아파크 완주
인천 동구 송현동,35,송현근린공원
용인 처인구 포곡읍,999,에버랜드
서울 종로구 옥인동,84,수성동계곡
서울 서대문구 창천동,11,저스트비 홍대선원
강릉 주문진읍,999,주문진관광유람선
서울 송파구 문정동,999,송파파크하비오워터킹덤워터파크&찜질스파
양주 장흥면,999,송추계곡
용인 처인구 포곡읍,999,캐리비안베이
과천 막계동,999,서울랜드
고양 덕양구 효자동,999,북한산천연옥워터파크
부산 해운대구 우동,999,센텀 스파랜드
충주 목벌동,999,활옥동굴
포천 소흘읍,35,송우관광농원 페리아도 워터파크
경주 천군동,999,강동 워터파크
경주 천군동,999,경주월드
논산 벌곡면,12,벌곡랜드 물놀이 수영장 유원지
여수 소호동,999,디오션 워터파크
경주 인왕동,4,첨성대 해바라기밭
천안 서북구 직산읍,83,파라프라
아산 도고면,999,파라다이스스파도고
가평 가평읍,69,가평용추계곡
서울 영등포구 영등포동4가,999,주렁주렁 동물원 영등포점
부산 해운대구 중동,999,클럽디오아시스 스파&워터파크
시흥 정왕동,75,파라다이브
서울 송파구 신천동,999,롯데월드 아쿠아리움
여수 만흥동,999,녹테마레 미디어아트
속초 설악동,999,설악케이블카
경주 천군동,999,경주월드캘리포니아비치
제주 서귀포시 성산읍,999,아쿠아플라넷 제주
서울 영등포구 여의도동,999,여의도 한강공원
포항 북구 죽장면,38,하옥계곡
제주 제주시 해안동,999,노형수퍼마켙
고양 일산서구 대화동,999,원마운트 워터파크
울산 남구 옥동,47,울산과학관
제주 제주시 회천동,89,김경숙해바라기농장
제주 제주시 한림읍,999,한림공원
동해 삼화동,999,무릉계곡
서울 영등포구 문래동3가,999,SeaLaLa워터파크
횡성 횡성읍,12,횡성문화체육공원
평택 진위면,18,트리하우스
화성 송동,999,주렁주렁 동물원 동탄점
제주 서귀포시 안덕면,999,산방산 탄산온천
서울 광진구 능동,999,서울어린이대공원
제천 한수면,38,송계계곡
파주 문산읍,13,임진각 수풀누리 공원
인천 중구 운서동,999,파라다이스시티 씨메르
이천 모가면,999,이천 테르메덴
서울 서초구 잠원동,71,잠원 한강공원 수영장
부산 동래구 온천동,999,허심청
밀양 산내면,92,얼음골
고양 덕양구 동산동,999,아쿠아필드 고양
과천 막계동,999,서울대공원
속초 장사동,999,한화리조트 설악워터피아
