datatime,pm10value,pm25value,pm10grade,pm25grade
2022-01-01 00:00,21,8,1,1
2022-01-01 00:30,21,8,1,1
2022-01-01 01:00,21,8,1,1
2022-01-01 01:30,21,8,1,1
2022-01-01 02:00,19,9,1,1
2022-01-01 02:30,19,9,1,1
2022-01-01 03:00,13,5,1,1
2022-01-01 03:30,13,5,1,1
2022-01-01 04:00,14,6,1,1
2022-01-01 04:30,14,6,1,1
2022-01-01 05:00,14,6,1,1
2022-01-01 05:30,14,5,1,1
2022-01-01 06:00,9,7,1,1
2022-01-01 06:30,9,7,1,1
2022-01-01 07:00,10,10,1,1
2022-01-01 07:30,10,9,1,1
2022-01-01 08:00,24,7,1,1
2022-01-01 08:30,24,8,1,1
2022-01-01 09:00,22,14,1,1
2022-01-01 09:30,22,14,1,1
2022-01-01 10:00,18,9,1,1
2022-01-01 10:30,18,9,1,1
2022-01-01 11:00,21,6,1,1
2022-01-01 11:30,21,6,1,1
2022-01-01 12:00,26,9,1,1
2022-01-01 12:30,26,9,1,1
2022-01-01 13:00,18,11,1,1
2022-01-01 13:30,18,12,1,1
2022-01-01 14:00,13,10,1,1
2022-01-01 14:30,13,9,1,1
2022-01-01 15:00,14,15,1,1
2022-01-01 15:30,14,15,1,1
2022-01-01 16:00,24,11,1,1
2022-01-01 16:30,24,10,1,1
2022-01-01 17:00,25,8,1,1
2022-01-01 17:30,25,8,1,1
2022-01-01 18:00,21,9,1,1
2022-01-01 18:30,21,9,1,1
2022-01-01 19:00,39,17,2,2
2022-01-01 19:30,39,19,2,2
2022-01-01 20:00,37,19,2,2
2022-01-01 20:30,37,19,2,2
2022-01-01 21:00,30,25,1,2
2022-01-01 21:30,30,25,1,2
2022-01-01 22:00,36,27,2,2
2022-01-01 22:30,36,28,2,2
2022-01-01 23:00,35,28,2,2
2022-01-01 23:30,35,27,2,2
2022-01-02 00:00,29,30,1,2
2022-01-02 00:30,29,31,1,2
2022-01-02 01:00,27,29,1,2
2022-01-02 01:30,27,29,1,2
2022-01-02 02:00,29,28,1,2
2022-01-02 02:30,29,28,1,2
2022-01-02 03:00,33,26,2,2
2022-01-02 03:30,33,25,2,2
2022-01-02 04:00,27,26,1,2
2022-01-02 04:30,27,27,1,2
2022-01-02 05:00,30,24,1,2
2022-01-02 05:30,30,25,1,2
2022-01-02 06:00,23,21,1,2
2022-01-02 06:30,23,21,1,2
2022-01-02 07:00,27,19,1,2
2022-01-02 07:30,27,19,1,2
2022-01-02 08:00,24,18,1,2
2022-01-02 08:30,24,18,1,2
2022-01-02 09:00,24,19,1,2
2022-01-02 09:30,24,19,1,2
2022-01-02 10:00,33,21,2,2
2022-01-02 10:30,33,21,2,2
2022-01-02 11:00,32,26,2,2
2022-01-02 11:30,32,26,2,2
2022-01-02 12:00,42,29,2,2
