지역(1),지역(2),태마파크,발전소와의 거리(km)
강원도,동해,쏠비치 삼척,2.09 
강원도,동해,추암 촛대바위,5.40 
강원도,동해,동해호해정,1.00 
강원도,삼척,한재소공원,2.05 
강원도,삼척,오분해변,2.20 
강원도,삼척,삼척장미공원,2.54 
강원도,강릉,안인해변,1.01 
강원도,북평,북평민속시장,1.96 
경상남도,고성,고성공룡박물관,3.60 
경상남도,고성,상족암오토캠핑장,4.01 
경상남도,고성,남일대해수욕장,2.60 
경상남도,사천,남일대해수욕장,2.11 
경상남도,사천,상족암 군림공원,3.86 
경상남도,사천,고성공룡박물관,3.60 
인천광역시,영흥,에너지파크,0.96 
인천광역시,영흥,노가리해변,2.88 
인천광역시,영흥,해양수산체험학습관,1.94 
전라남도,여수,흥국사계곡,1.87 
전라남도,여수,묘도봉화산전망대,5.08 
전라남도,여수,이순신대교 홍보관,5.64 
충청남도,보령,저두해수용장,6.10 
충청남도,보령,태봉산,6.00 
충청남도,태안,꾸지나무골해수욕장,7.30 
충청남도,태안,학암포해수욕장,2.10 
충청남도,당진,왜목마을 워터파크,6.80 
충청남도,당진,삼교호 함상공원,24.50 
충청남도,당진,아마존 아쿠아파크 당진,19.90 
충청남도,서천,갈목해변,13.80 
충청남도,서천,파인트리글램핑,22.80 
충청남도,서천,선도리 갯벌체험장,21.50 
