지역(1),지역(2),태마파크
충청남도,보령,마스타대천 워터파크
충청남도,보령,대천해수욕장
충청남도,보령,보령석탄 박물관
충청남도,태안,용난굴
충청남도,태안,해바라기 올래 정원
충청남도,태안,안면도 쥬라기 박물관
충청남도,당진,왜목마을 워터파크
충청남도,당진,아마존 아쿠아파크 당진
충청남도,예산,스플라스 온천 워터파크
충청남도,서천,선도리 갯벌체험장
충청남도,태안,청산 수목원
충청남도,부여,롯데리조트부여 아쿠아가든
전라남도,여수,디오션 워터파크
전라남도,나주,리조트워터락
전라남도,여수,아쿠아플라넷 여수
전라남도,화순,무등산양때목장
전라남도,구례,지리산치즈랜드
전라남도,나주,나주랜드
경상남도,거제,소노캄 거제 오션어드벤처
경상남도,김해,롯데워터파크 김해
경상남도,거제,거제씨월드
경상남도,사천,아라마루 아쿠아리움
경상남도,거제,거제식물원
경상남도,고성,그레이스정원
경상남도,남해,보물섬식물원
강원도,양양,쏠비치 양양 오션플레이
강원도,속초,설악케이블카
강원도,동해,어달해수욕장
강원도,평창,대관령양때목장
강원도,고성,하늬라벤더팜
강원도,홍천,오션월드
인천광역시,중구,파아다이스시티 씨메르
인천광역시,강화군,프랜쥬랜드
인천광역시,서구,로봇체험관
인천광역시,남동구,인천수목원
인천광역시,강화군,석모도 수목원
