date, pm25, pm10, o3, no2, so2, co
2024-06-01,62,25,46,8,3,3
2024-06-02,48,14,40,19,3,3
2024-06-03,30,20,43,16,3,3
2024-06-04,36,42,74,26,5,5
2024-06-05,82,47,99,24,5,5
2024-06-06,101,35,68,21,4,4
2024-06-07,76,27,40,13,3,4
2024-06-08,69,33,76,13,4,5
2024-06-09,76,51,92,17,4,6
2024-06-10,100,60,96,14,4,6
2024-06-11,124,36,84,18,4,4
2024-06-12,69,37,65,22,4,4
2024-06-13,73,43,76,22,6,4
2024-06-14,82,30,30,13,4,3
2024-06-15,76,27,46,10,3,4
2024-06-16,61,26,63,20,4,4
2024-06-17,60, , , , , 
2024-05-01,61,40,53,21,4,5
2024-05-02,73,53,73,30,5,5
2024-05-03,94,59,111,31,5,7
2024-05-04,114,43,51,25,5,6
2024-05-05,91,11,41,9,3,4
2024-05-06,27,23,38,12,3,4
2024-05-07,51,22,34,13,3,3
2024-05-08,43,32,57,19,4,4
2024-05-09,63,35,52,16,4,4
2024-05-10,66,22,35,12,3,3
2024-05-11,37,64,41,9,3,4
2024-05-12,68,35,45,20,4,5
2024-05-13,63,31,54,23,4,4
2024-05-14,62,26,38,15,4,4
2024-05-15,39,18,42,11,3,3
2024-05-16,26,49,64,20,4,5
2024-05-17,84,30,46,17,4,4
2024-05-18,53,27,56,11,4,4
2024-05-19,52,34,28,15,4,3
2024-05-20,65,46,59,18,4,5
2024-05-21,101,56,56,21,4,6
2024-05-22,123,37,42,19,4,4
2024-05-23,80,41,33,14,3,4
2024-05-24,91,37,45,15,3,4
2024-05-25,73,26,40,10,3,4
2024-05-26,57,29,44,9,3,4
2024-05-27,47,18,33,13,3,3
2024-05-28,31,29,45,24,4,4
2024-05-29,55,31,42,31,4,5
2024-05-30,67,28,45,17,4,4
2024-05-31,57,33,38,9,3,4
2024-04-01,62,56,52,41,5,6
2024-04-02,89,48,25,40,4,6
2024-04-03,84,35,43,18,3,4
2024-04-04,62,45,50,19,4,5
2024-04-05,77,64,53,33,4,7
2024-04-06,136,59,72,30,4,7
2024-04-07,118,58,43,38,4,6
2024-04-08,97,44,49,15,3,4
2024-04-09,75,47,49,13,3,4
2024-04-10,72,54,42,25,4,6
2024-04-11,82,54,47,31,4,6
2024-04-12,87,46,48,22,4,5
2024-04-13,75,49,83,24,5,6
2024-04-14,85,24,39,19,4,5
2024-04-15,51,65,37,19,3,5
2024-04-16,93,109,33,25,3,6
2024-04-17,140,93,45,30,4,6
2024-04-18,102,82,85,30,5,6
2024-04-19,110,56,43,24,4,6
2024-04-20,95,17,47,6,3,3
2024-04-21,28,33,49,11,3,4
2024-04-22,67,23,46,10,3,3
2024-04-23,49,13,32,12,3,4
2024-04-24,24,34,56,21,3,5
2024-04-25,77,64,51,30,4,6
2024-04-26,98,54,58,24,4,6
2024-04-27,80,43,85,25,4,6
2024-04-28,82,48,52,16,4,4
2024-04-29,78,61,44,25,5,6
2024-04-30,116,30,49,12,3,4
2024-01-01,81,41,20,24,4,6
2024-01-02,103,44,25,29,4,6
2024-01-03,102,55,14,37,5,9
2024-01-04,124,71,26,36,4,10
2024-01-05,149,28,22,20,4,5
2024-01-06,56,26,25,11,4,5
2024-01-07,56,25,15,30,4,7
2024-01-08,62,38,2,45,5,9
2024-01-09,95,64,7,44,4,10
2024-01-10,154,58,11,41,4,8
2024-01-11,136,51,23,24,4,6
2024-01-12,105,29,17,32,5,6
2024-01-13,59,34,26,38,3,9
2024-01-14,85,25,22,18,4,4
2024-01-15,48,35,16,39,5,8
2024-01-16,76,41,2,46,5,10
2024-01-17,98,30,25,31,4,7
2024-01-18,83,15,28,15,4,5
2024-01-19,39,5,30,11,3,3
2024-01-20,8,13,27,14,4,5
2024-01-21,33,33,27,11,3,4
2024-01-22,82,24,24,8,3,3
2024-01-23,49,24,24,8,3,4
2024-01-24,48,26,21,21,4,5
2024-01-25,59,36,17,40,4,7
2024-01-26,86,54,28,38,4,9
2024-01-27,128,33,26,27,4,6
2024-01-28,81,47,26,38,4,8
2024-01-29,109,57,17,51,4,10
2024-01-30,134,57,30,47,5,9
2024-01-31,131,70,23,32,5,10
2024-02-01,156,32,23,34,4,6
2024-02-02,77,37,15,39,4,7
2024-02-03,91,28,22,30,4,6
2024-02-04,69,8,23,16,3,3
2024-02-05,18,14,21,28,3,4
2024-02-06,41,34,21,27,3,7
2024-02-07,88,39,26,34,4,7
2024-02-08,95,31,31,30,3,6
2024-02-09,85,46,40,24,4,6
2024-02-10,105,57,38,23,4,7
2024-02-11,140,62,34,31,4,9
2024-02-12,145,65,38,39,5,9
2024-02-13,134,52,34,43,5,8
2024-02-14,103,24,30,16,3,5
2024-02-15,63,30,22,30,4,6
2024-02-16,72,40,28,40,4,8
2024-02-17,112,41,14,35,3,7
2024-02-18,103,14,15,30,3,7
2024-02-19,36,31,27,21,3,6
2024-02-20,59,4,27,13,3,4
2024-02-21,8,6,29,14,3,3
2024-02-22,11,9,33,13,3,3
2024-02-23,20,15,30,14,3,4
2024-02-24,33,15,26,14,3,4
2024-02-25,44,33,27,23,4,6
2024-02-26,73,21,30,18,3,4
2024-02-27,44,37,20,27,4,5
2024-02-28,72,58,35,26,4,6
2024-02-29,118,41,34,7,3,3
2024-03-01,50,38,35,16,4,3
2024-03-02,63,88,37,19,4,7
2024-03-03,158,67,28,39,4,7
2024-03-04,122,50,36,31,4,5
2024-03-05,85,16,31,19,3,4
2024-03-06,34,31,31,19,3,5
2024-03-07,70,47,32,15,4,4
2024-03-08,84,37,31,15,3,4
2024-03-09,72,34,36,23,4,5
2024-03-10,74,39,25,39,4,6
2024-03-11,79,34,28,33,4,6
2024-03-12,81,48,48,27,4,6
2024-03-13,96,62,42,30,4,6
2024-03-14,125,53,44,28,4,5
2024-03-15,112,55,43,30,4,6
2024-03-16,113,80,42,11,3,4
2024-03-17,81,24,30,21,3,4
2024-03-18,35,48,44,20,3,5
2024-03-19,90,44,38,12,3,4
2024-03-20,86,41,35,25,4,5
2024-03-21,81,48,43,29,4,5
2024-03-22,78,58,45,16,3,5
2024-03-23,97,38,45,21,3,5
2024-03-24,67,21,38,16,3,4
2024-03-25,34,7,37,15,3,4
2024-03-26,14,28,34,30,4,5
2024-03-27,63,27,34,30,4,6
2024-03-28,68,188,35,23,3,5
2024-03-29,132,78,40,25,3,5
2024-03-30,87,48,41,16,4,5
2024-03-31,56,48,42,28,4,5
2023-10-01,39,19,38,15,3,4
2023-10-02,35,20,26,19,3,5
2023-10-03,40,24,27,26,4,5
2023-10-04,54,31,30,10,3,3
2023-10-05,26,24,17,22,4,5
2023-10-06,33,17,20,15,4,5
2023-10-07,25,11,19,7,3,4
2023-10-08,18,11,22,10,4,4
2023-10-09,19,18,20,18,4,5
2023-10-10,34,22,23,21,4,6
2023-10-11,40,26,44,23,4,5
2023-10-12,61,38,33,32,3,6
2023-10-13,86,31,23,29,3,6
2023-10-14,82,27,45,17,3,6
2023-10-15,71,47,32,15,4,6
2023-10-16,78,37,31,28,4,5
2023-10-17,61,36,34,32,5,6
2023-10-18,72,33,30,30,3,6
2023-10-19,76,23,23,8,3,3
2023-10-20,30,20,30,15,3,3
2023-10-21,30,26,32,19,4,5
2023-10-22,51,34,39,30,3,6
2023-10-23,72,38,23,36,4,6
2023-10-24,84,41,38,33,4,6
2023-10-25,92,52,50,28,4,6
2023-10-26,115,30,32,17,3,4
2023-10-27,62,39,28,32,4,6
2023-10-28,76,34,29,24,3,5
2023-10-29,72,47,27,37,4,6
2023-10-30,92,52,45,30,4,6
2023-10-31,106,50,50,16,4,5
2023-11-01,94,45,48,14,4,5
2023-11-02,76,37,34,15,4,4
2023-11-03,59,48,27,15,3,5
2023-11-04,73,15,27,10,3,4
2023-11-05,34,22,29,8,3,4
2023-11-06,35,22,26,13,3,4
2023-11-07,33,27,14,36,4,6
2023-11-08,56,34,21,36,4,8
2023-11-09,74,20,24,10,3,4
2023-11-10,43,21,27,16,4,4
2023-11-11,49,21,28,9,3,4
2023-11-12,52,26,23,19,4,5
2023-11-13,62,31,20,29,4,6
2023-11-14,69,46,18,42,5,9
2023-11-15,105,48,7,41,4,8
2023-11-16,124,21,19,18,4,4
2023-11-17,45,24,25,11,3,4
2023-11-18,51,42,29,25,4,7
