date, pm25, pm10, o3, no2, so2, co
2024/6/1, 46, 38, , 9, 4, 8
2024/6/2, 76, 43, , 6, 4, 8
2024/6/3, 86, 34, , 7, 4, 8
2024/6/4, 76, 17, , 5, 3, 3
2024/6/5, 44, 22, , 4, 4, 3
2024/6/6, 57, 18, , 3, 4, 4
2024/6/7, 54, 26, , 6, 4, 5
2024/6/8, 72, 32, , 2, 4, 5
2024/6/9, 87, 28, , 2, 4, 5
2024/6/10, 75, 35, , 4, 5, 5
2024/6/11, 81, 25, , 4, 4, 3
2024/6/12, 52, 16, , 4, 3, 3
2024/6/13, 52, 16, , 5, 4, 3
2024/6/14, 53, 22, , 10, 4, 4
2024/6/15, 83, , , , , 
2024/5/1, 118, 52, , 7, 4, 5
2024/5/2, 87, 47, , 7, 4, 5
2024/5/3, 88, 26, , 5, 3, 4
2024/5/4, 54, 22, , 3, 2, 5
2024/5/5, 52, 37, , 6, 3, 5
2024/5/6, 88, 45, , 7, 4, 6
2024/5/7, 98, 55, , 10, 5, 8
2024/5/8, 108, 64, , 9, 5, 6
2024/5/9, 111, 48, , 5, 4, 5
2024/5/10, 75, 106, , 6, 3, 4
2024/5/11, 124, 45, , 7, 3, 4
2024/5/12, 52, 44, , 9, 4, 5
2024/5/13, 72, 64, , 7, 5, 6
2024/5/14, 97, 54, , 4, 3, 4
2024/5/15, 49, 57, , 10, 4, 6
2024/5/16, 80, 52, , 5, 4, 5
2024/5/17, 82, 31, , 3, 4, 4
2024/5/18, 64, 19, , 4, 4, 6
2024/5/19, 61, 33, , 6, 4, 6
2024/5/20, 86, 43, , 7, 4, 6
2024/5/21, 78, 19, , 4, 4, 4
2024/5/22, 56, 28, , 6, 5, 6
2024/5/23, 82, 31, , 7, 3, 6
2024/5/24, 82, 27, , 5, 2, 4
2024/5/25, 62, 19, , 5, 3, 5
2024/5/26, 64, 17, , 6, 3, 5
2024/5/27, 38, 36, , 10, 6, 10
2024/5/28, 82, 35, , 10, 6, 5
2024/5/29, 67, 23, , 6, 3, 5
2024/5/30, 54, 26, , 5, 3, 6
2024/5/31, 58, 28, , 6, 4, 7
2024/4/1, 81, 45, , 3, 3, 6
2024/4/2, 76, 42, , 6, 4, 6
2024/4/3, 73, 48, , 5, 3, 5
2024/4/4, 88, 56, , 8, 3, 4
2024/4/5, 105, 71, , 10, 6, 6
2024/4/6, 148, 90, , 14, 6, 9
2024/4/7, 167, 77, , 8, 5, 7
2024/4/8, 120, 91, , 11, 5, 8
2024/4/9, 163, 64, , 10, 4, 5
2024/4/10, 139, 47, , 7, 4, 5
2024/4/11, 87, 39, , 7, 4, 5
2024/4/12, 78, 24, , 5, 4, 5
2024/4/13, 54, 16, , 3, 4, 5
